Mes-Ano," Línea de Pobreza Extrema Rural por Ingresos
(Canasta alimentaria) "," Línea de Pobreza Extrema Urbana por Ingresos
(Canasta alimentaria) ","Línea de Pobreza Rural por Ingresos
(Canasta alimentaria más no alimentaria)","Línea de Pobreza Urbana por Ingresos
(Canasta alimentaria más no alimentaria)"
abr-18,"$1,147.23","$1,514.53","$2,291.95","$3,275.90"
may-18,"$1,136.49","$1,504.32","$2,270.83","$3,250.95"
jun-18,"$1,135.34","$1,506.10","$2,274.31","$3,264.69"
jul-18,"$1,145.50","$1,521.44","$2,288.41","$3,287.62"
ago-18,"$1,164.75","$1,544.07","$2,316.53","$3,325.40"
sep-18,"$1,168.41","$1,547.62","$2,328.02","$3,346.85"
oct-18,"$1,165.41","$1,543.15","$2,338.41","$3,364.82"
nov-18,"$1,185.71","$1,562.69","$2,374.02","$3,405.37"
dic-18,"$1,208.47","$1,586.96","$2,397.31","$3,427.73"
ene-19,"$1,218.00","$1,600.70","$2,406.84","$3,437.11"
feb-19,"$1,201.97","$1,587.74","$2,396.98","$3,434.17"
mar-19,"$1,208.60","$1,595.99","$2,410.42","$3,454.93"
abr-19,"$1,216.56","$1,605.23","$2,410.52","$3,446.48"
may-19,"$1,210.27","$1,598.44","$2,392.20","$3,415.54"
jun-19,"$1,201.19","$1,589.23","$2,382.71","$3,400.01"
jul-19,"$1,218.42","$1,608.23","$2,401.78","$3,418.94"
ago-19,"$1,209.70","$1,602.22","$2,397.58","$3,417.75"
sep-19,"$1,209.15","$1,602.47","$2,402.26","$3,428.28"
oct-19,"$1,211.57","$1,604.28","$2,417.11","$3,451.76"
nov-19,"$1,224.81","$1,617.70","$2,447.74","$3,494.27"
dic-19,"$1,240.98","$1,637.36","$2,467.02","$3,518.62"
ene-20,"$1,255.26","$1,653.99","$2,485.43","$3,538.74"
feb-20,"$1,264.80","$1,663.30","$2,496.91","$3,548.90"
mar-20,"$1,278.35","$1,676.85","$2,501.16","$3,542.39"
abr-20,"$1,279.37","$1,677.69","$2,467.51","$3,475.60"
may-20,"$1,289.46","$1,689.30","$2,474.01","$3,482.20"
jun-20,"$1,279.09","$1,679.08","$2,481.52","$3,503.97"
jul-20,"$1,287.59","$1,688.57","$2,502.93","$3,536.45"
ago-20,"$1,299.30","$1,702.28","$2,519.95","$3,559.53"
sep-20,"$1,308.91","$1,713.31","$2,533.98","$3,577.28"
oct-20,"$1,319.60","$1,724.37","$2,554.00","$3,605.92"
nov-20,"$1,315.69","$1,721.00","$2,555.27","$3,610.60"
dic-20,"$1,306.48","$1,713.89","$2,555.44","$3,618.84"
ene-21,"$1,313.46","$1,725.66","$2,574.62","$3,660.23"
feb-21,"$1,313.69","$1,728.88","$2,585.40","$3,686.46"
mar-21,"$1,326.23","$1,741.89","$2,605.75","$3,716.73"
abr-21,"$1,344.23","$1,759.59","$2,617.42","$3,722.02"
may-21,"$1,360.83","$1,778.98","$2,621.80","$3,717.27"
jun-21,"$1,370.74","$1,793.40","$2,636.65","$3,740.01"
jul-21,"$1,383.84","$1,810.09","$2,653.59","$3,766.89"
ago-21,"$1,399.36","$1,828.54","$2,673.32","$3,775.58"
sep-21,"$1,417.04","$1,847.27","$2,698.48","$3,808.47"
oct-21,"$1,418.86","$1,850.69","$2,715.17","$3,842.90"
nov-21,"$1,447.57","$1,879.04","$2,761.58","$3,898.23"
dic-21,"$1,463.43","$1,901.66","$2,784.42","$3,916.48"
ene-22,"$1,481.10","$1,930.38","$2,811.92","$3,957.47"
feb-22,"$1,496.32","$1,950.26","$2,837.13","$3,996.68"
mar-22,"$1,517.96","$1,974.57","$2,869.84","$4,042.17"
abr-22,"$1,522.44","$1,978.54","$2,873.69","$4,040.68"
may-22,"$1,523.90","$1,982.45","$2,865.63","$4,024.03"
jun-22,"$1,544.88","$2,011.99","$2,897.63","$4,064.47"
jul-22,"$1,566.95","$2,042.89","$2,927.91","$4,104.41"
ago-22,"$1,600.18","$2,086.21","$2,970.19","$4,157.63"
sep-22,"$1,625.57","$2,114.03","$3,006.40","$4,193.58"
oct-22,"$1,624.24","$2,112.10","$3,022.18","$4,208.19"
nov-22,"$1,620.78","$2,110.39","$3,036.80","$4,232.62"
dic-22,"$1,630.95","$2,124.70","$3,051.17","$4,245.25"
ene-23,"$1,644.23","$2,143.72","$3,073.88","$4,275.21"
feb-23,"$1,652.42","$2,154.80","$3,088.76","$4,298.40"
mar-23,"$1,659.09","$2,164.51","$3,101.66","$4,311.01"
abr-23,"$1,666.91","$2,173.93","$3,104.97","$4,304.25"
may-23,"$1,666.33","$2,177.45","$3,090.22","$4,278.67"
jun-23,"$1,663.17","$2,179.44","$3,090.14","$4,277.08"
jul-23,"$1,672.74","$2,192.71","$3,103.30","$4,292.42"
ago-23,"$1,699.49","$2,220.46","$3,138.45","$4,336.60"
sep-23,"$1,721.14","$2,243.12","$3,170.64","$4,378.46"
oct-23,"$1,701.52","$2,224.83","$3,165.34","$4,386.21"
nov-23,"$1,703.61","$2,225.57","$3,183.94","$4,414.01"
dic-23,"$1,743.61","$2,269.57","$3,225.88","$4,460.93"
ene-24,"$1,798.56","$2,328.59","$3,285.68","$4,528.71"
feb-24,"$1,756.08","$2,293.38","$3,252.36","$4,514.95"
mar-24,"$1,750.51","$2,287.66","$3,251.44","$4,513.73"
abr-24,"$1,761.74","$2,298.82","$3,254.68","$4,509.24"
may-24,"$1,767.03","$2,304.37","$3,244.36","$4,484.10"
jun-24,"$1,759.79","$2,302.24","$3,241.15","$4,485.56"
jul-24,"$1,804.36","$2,352.34","$3,293.83","$4,552.89"
ago-24,"$1,800.55","$2,354.65","$3,296.92","$4,564.97"
sep-24,"$1,786.88","$2,344.06","$3,290.62","$4,567.59"
oct-24,"$1,791.69","$2,349.71","$3,308.22","$4,592.47"
nov-24,"$1,799.17","$2,359.10","$3,329.63","$4,628.83"
dic-24,"$1,799.71","$2,363.67","$3,334.24","$4,640.16"
ene-25,"$1,795.77","$2,366.33","$3,342.21","$4,660.52"
feb-25,"$1,787.36","$2,364.01","$3,340.21","$4,666.65"
mar-25,"$1,797.48","$2,379.47","$3,350.38","$4,680.15"
